ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol
2024-12-01T12:03:29.181888360Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-02T00:00:00.000000000Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-03T00:00:00.000000000Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-04T00:00:00.000000000Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-05T00:00:00.000000000Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-06T00:00:00.000000000Z,2024-12-01T12:03:29.110000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-08T12:35:55.017029664Z,2024-12-08T12:35:54.946000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-09T00:00:00.000000000Z,2024-12-08T12:35:54.946000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-10T00:00:00.000000000Z,2024-12-08T12:35:54.946000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
2024-12-11T00:00:00.000000000Z,2024-12-08T12:35:54.946000000Z,19,1,42005488,HEM6,A,F,0.025000000,0.001000000,2026-06-12T17:00:00.000000000Z,2024-12-13T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794703,0,42005488,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,HE,XCME,HE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,HEM6
